,TUCASEID,TEWHERE,TUACTDUR,PEEDUCA,PTDTRACE,TRCHILDNUM,TRSPPRES,TRDPFTPT,TEAGE,TESEX,TEIO1COW,TUDIARYDAY,Telecommuting,Education,Race,NumChild,Married,Gender,Fulltime
174,20030112020098,2,495,38,1,0,1,1,39,1,4,3,0,0,0,0,0,0,1
176,20030112020114,2,510,46,1,0,3,1,49,2,3,3,0,4,0,0,1,1,1
180,20030112020517,2,800,41,1,1,1,1,43,1,4,4,0,2,0,1,0,0,1
181,20030112020525,2,510,43,1,1,1,1,39,2,1,3,0,3,0,1,0,1,1
182,20030112020536,2,365,40,1,1,1,1,23,2,4,2,0,2,0,1,0,1,1
184,20030112020567,1,680,43,1,1,1,1,29,2,4,5,1,3,0,1,0,1,1
185,20030112020569,2,495,39,1,3,1,1,22,2,4,4,0,1,0,3,0,1,1
188,20030112020618,2,315,43,1,2,1,1,41,1,4,5,0,3,0,2,0,0,1
190,20030112020634,2,735,36,1,3,1,1,43,2,4,2,0,0,0,3,0,1,1
192,20030112020655,2,485,39,1,2,1,1,41,1,4,5,0,1,0,2,0,0,1
193,20030112020660,1,285,39,1,3,2,2,28,2,2,4,1,1,0,3,1,1,0
196,20030112020683,2,660,43,1,0,3,1,35,2,4,3,0,3,0,0,1,1,1
198,20030112020688,2,510,43,1,0,3,1,39,1,4,6,0,3,0,0,1,0,1
200,20030112020691,2,465,38,1,0,3,2,24,2,4,2,0,0,0,0,1,1,0
201,20030112020727,2,445,39,1,0,3,1,48,2,4,4,0,1,0,0,1,1,1
202,20030112020732,2,400,43,4,0,1,1,36,2,4,6,0,3,2,0,0,1,1
203,20030112020733,2,455,40,1,0,3,1,38,2,3,3,0,2,0,0,1,1,1
206,20030112020752,2,290,44,1,2,1,1,45,1,4,5,0,4,0,2,0,0,1
207,20030112020782,2,705,43,1,0,1,1,24,1,4,2,0,3,0,0,0,0,1
211,20030112020834,2,365,39,1,0,1,2,21,2,4,6,0,1,0,0,0,1,0
213,20030112020847,2,465,43,1,1,1,1,43,2,4,3,0,3,0,1,0,1,1
215,20030112020858,2,490,44,1,4,1,1,50,1,4,2,0,4,0,3,0,0,1
216,20030112020860,2,660,40,1,0,3,1,30,1,4,2,0,2,0,0,1,0,1
217,20030112020863,2,575,40,1,0,1,1,49,1,4,2,0,2,0,0,0,0,1
218,20030112020876,2,485,39,2,0,1,1,48,1,1,3,0,1,1,0,0,0,1
220,20030112020894,2,615,42,1,1,1,1,40,1,3,6,0,2,0,1,0,0,1
221,20030112020911,2,530,43,1,2,1,1,48,1,4,4,0,3,0,2,0,0,1
223,20030112020918,2,634,39,1,0,3,1,56,2,4,5,0,1,0,0,1,1,1
224,20030112020922,2,545,44,1,0,3,1,55,2,5,5,0,4,0,0,1,1,1
225,20030112020926,2,480,42,1,3,1,1,33,2,4,6,0,2,0,3,0,1,1
226,20030112020938,2,444,40,2,4,1,1,47,1,1,3,0,2,1,3,0,0,1
227,20030112020958,2,225,43,1,1,1,2,27,2,5,5,0,3,0,1,0,1,0
