,TUCASEID,LEJF_11,LEJF_12,LEJF_13,LEJF_14
317,20170112161199,-1,-1,-1,-1
318,20170112161206,1,1,2,1
319,20170112161215,-1,-1,-1,-1
320,20170112161223,-1,-1,-1,-1
321,20170112161236,1,1,2,1
322,20170112161251,-1,-1,-1,-1
323,20170112161266,-1,-1,-1,-1
324,20170112161295,-1,-1,-1,-1
325,20170112161309,-1,-1,-1,-1
326,20170112161321,-1,-1,-1,-1
327,20170112161323,-1,-1,-1,-1
328,20170112161342,1,1,4,1
329,20170112161346,-1,-1,-1,-1
330,20170112161348,-1,-1,-1,-1
331,20170112161370,-1,-1,-1,-1
332,20170112161371,-1,-1,-1,-1
333,20170112161374,2,-1,-1,-1
334,20170112161375,-1,-1,-1,-1
335,20170112161380,-1,-1,-1,-1
336,20170112161382,-1,-1,-1,-1
337,20170112161385,1,1,5,2
338,20170112161391,2,-1,-1,-1
339,20170112161394,-1,-1,-1,-1
340,20170112161412,-1,-1,-1,-1
341,20170112161420,-1,-1,-1,-1
342,20170112161428,1,1,4,1
343,20170112161429,2,-1,-1,-1
344,20170112161446,-1,-1,-1,-1
345,20170112161449,1,1,3,2
346,20170112161453,1,1,6,2
347,20170112161458,-1,-1,-1,-1
348,20170112161463,-1,-1,-1,-1
349,20170112161473,1,1,3,2
350,20170112161476,-1,-1,-1,-1
351,20170112161496,-1,-1,-1,-1
352,20170112161497,-1,-1,-1,-1
353,20170112161501,-1,-1,-1,-1
354,20170112161503,-1,-1,-1,-1
355,20170112161507,1,2,5,2
356,20170112161510,1,1,1,2
357,20170112161512,1,1,1,2
358,20170112161513,-1,-1,-1,-1
359,20170112161514,-1,-1,-1,-1
360,20170112161518,-1,-1,-1,-1
361,20170112161526,-1,-1,-1,-1
362,20170112161528,-1,-1,-1,-1
363,20170112161531,1,1,2,1
364,20170112161533,2,-1,-1,-1
365,20170112161535,-1,-1,-1,-1
366,20170112161546,-1,-1,-1,-1
367,20170112161547,-1,-1,-1,-1
368,20170112161561,-1,-1,-1,-1
369,20170112161574,-1,-1,-1,-1
370,20170112161592,-1,-1,-1,-1
371,20170112161598,-1,-1,-1,-1
372,20170112161604,-1,-1,-1,-1
373,20170112161616,-1,-1,-1,-1
374,20170112161621,-1,-1,-1,-1
375,20170112161630,-1,-1,-1,-1
376,20170112161658,-1,-1,-1,-1
377,20170112161659,1,1,4,1
378,20170112161665,1,1,6,2
379,20170112161668,1,1,4,1
380,20170112161672,-1,-1,-1,-1
381,20170112161674,-1,-1,-1,-1
382,20170112161687,-1,-1,-1,-1
383,20170112161691,-1,-1,-1,-1
384,20170112161696,1,1,3,1
385,20170112161704,1,1,4,1
386,20170112161715,2,-1,-1,-1
387,20170112161716,1,1,3,1
388,20170112161718,1,2,3,2
389,20170112161721,1,1,3,2
390,20170112161722,1,1,3,2
391,20170112161726,1,2,4,2
392,20170112161734,-1,-1,-1,-1
393,20170112161741,-1,-1,-1,-1
394,20170112161744,-1,-1,-1,-1
395,20170112161747,-1,-1,-1,-1
396,20170112161750,-1,-1,-1,-1
397,20170112161752,-1,-1,-1,-1
398,20170112161759,-1,-1,-1,-1
399,20170112161762,-1,-1,-1,-1
400,20170112161766,1,3,4,2
401,20170112161767,1,3,5,1
402,20170112161768,-1,-1,-1,-1
403,20170112161772,1,1,3,2
404,20170112161777,-1,-1,-1,-1
405,20170112161780,2,-1,-1,-1
406,20170112161795,-1,-1,-1,-1
407,20170112161796,1,2,5,2
408,20170112161801,-1,-1,-1,-1
409,20170112161803,-1,-1,-1,-1
410,20170112161809,1,1,4,1
411,20170112161813,-1,-1,-1,-1
412,20170112161822,-1,-1,-1,-1
413,20170112161825,-1,-1,-1,-1
414,20170112161828,-1,-1,-1,-1
415,20170112161836,-1,-1,-1,-1
416,20170112161837,-1,-1,-1,-1
417,20170112161841,-1,-1,-1,-1
418,20170112161850,-1,-1,-1,-1
419,20170112161853,-1,-1,-1,-1
420,20170112161859,-1,-1,-1,-1
421,20170112161860,-1,-1,-1,-1
422,20170112161866,2,-1,-1,-1
423,20170112161870,-1,-1,-1,-1
424,20170112161877,-1,-1,-1,-1
425,20170112161887,-1,-1,-1,-1
426,20170112161888,-1,-1,-1,-1
427,20170112161890,1,2,5,1
428,20170112161891,1,1,2,2
429,20170112161892,-1,-1,-1,-1
430,20170112161897,-1,-1,-1,-1
431,20170112161898,-1,-1,-1,-1
432,20170112161899,1,1,6,2
433,20170112161900,-1,-1,-1,-1
434,20170112161914,1,2,1,1
435,20170112161922,-1,-1,-1,-1
436,20170112161927,-1,-1,-1,-1
437,20170112161928,-1,-1,-1,-1
438,20170112161936,1,1,3,2
439,20170112161941,-1,-1,-1,-1
440,20170112161943,1,2,1,2
441,20170112161947,-1,-1,-1,-1
442,20170112161955,-1,-1,-1,-1
443,20170112161959,1,1,5,1
444,20170112161960,-1,-1,-1,-1
445,20170112161964,-1,-1,-1,-1
446,20170112161966,-1,-1,-1,-1
447,20170112161976,-1,-1,-1,-1
448,20170112161978,2,-1,-1,-1
449,20170112161983,-1,-1,-1,-1
450,20170112161995,1,1,1,1
451,20170112162003,2,-1,-1,-1
452,20170112162013,-1,-1,-1,-1
453,20170112162031,-1,-1,-1,-1
454,20170112162037,1,1,2,1
455,20170112162055,-1,-1,-1,-1
456,20170112162057,-1,-1,-1,-1
457,20170112162059,1,1,2,1
458,20170112162061,1,3,1,1
459,20170112162064,-1,-1,-1,-1
460,20170112162089,1,1,4,1
461,20170112162093,1,2,1,2
462,20170112162108,-1,-1,-1,-1
463,20170112162118,-1,-1,-1,-1
464,20170112162122,-1,-1,-1,-1
465,20170112162124,1,1,4,1
466,20170112162125,-1,-1,-1,-1
467,20170112162129,-1,-1,-1,-1
468,20170112162133,-1,-1,-1,-1
469,20170112162137,-1,-1,-1,-1
470,20170112162139,1,3,1,2
471,20170112162141,-1,-1,-1,-1
472,20170112162145,-1,-1,-1,-1
473,20170112162146,-1,-1,-1,-1
474,20170112162147,-1,-1,-1,-1
475,20170112162154,-1,-1,-1,-1
476,20170112162164,1,1,2,1
477,20170112162165,1,1,3,1
478,20170112162168,1,3,1,2
479,20170112162172,-1,-1,-1,-1
480,20170112162182,-1,-1,-1,-1
481,20170112162187,-1,-1,-1,-1
482,20170112162203,1,1,5,1
483,20170112162213,-1,-1,-1,-1
484,20170112162216,1,1,5,1
485,20170112162227,-1,-1,-1,-1
486,20170112162230,1,1,6,1
487,20170112162231,-1,-1,-1,-1
488,20170112162232,1,1,4,1
489,20170112162239,1,1,2,1
490,20170112162241,2,-1,-1,-1
491,20170112162250,-1,-1,-1,-1
492,20170112162255,1,2,5,1
493,20170112162257,-1,-1,-1,-1
494,20170112162261,1,1,1,2
495,20170112162262,-1,-1,-1,-1
496,20170112162280,-1,-1,-1,-1
497,20170112162282,-1,-1,-1,-1
498,20170112162283,-1,-1,-1,-1
499,20170112162296,1,2,2,2
500,20170112162298,-1,-1,-1,-1
501,20170112162299,-1,-1,-1,-1
502,20170112162300,-1,-1,-1,-1
503,20170112162303,-1,-1,-1,-1
504,20170112162317,1,3,3,2
505,20170112162331,-1,-1,-1,-1
506,20170112162352,-1,-1,-1,-1
507,20170112162355,-1,-1,-1,-1
508,20170112162369,-1,-1,-1,-1
509,20170112162375,-1,-1,-1,-1
510,20170112162387,1,1,5,1
511,20170112162394,1,1,4,1
512,20170112162395,-1,-1,-1,-1
513,20170112162396,-1,-1,-1,-1
514,20170112162411,-1,-1,-1,-1
515,20170112162421,-1,-1,-1,-1
516,20170112162422,1,1,2,1
517,20170112162423,-1,-1,-1,-1
518,20170112162444,-1,-1,-1,-1
519,20170112162446,-1,-1,-1,-1
520,20170112162451,-1,-1,-1,-1
521,20170112162452,-1,-1,-1,-1
522,20170112162453,-1,-1,-1,-1
523,20170112162454,-1,-1,-1,-1
524,20170112162455,-1,-1,-1,-1
525,20170112162477,-1,-1,-1,-1
526,20170112162480,-1,-1,-1,-1
527,20170112162486,-1,-1,-1,-1
528,20170112162499,-1,-1,-1,-1
529,20170112162513,1,1,2,1
530,20170112162526,-1,-1,-1,-1
531,20170112162529,-1,-1,-1,-1
532,20170112162538,-1,-1,-1,-1
533,20170201170004,-1,-1,-1,-1
534,20170201170010,-1,-1,-1,-1
535,20170201170029,-1,-1,-1,-1
536,20170201170047,-1,-1,-1,-1
537,20170201170054,1,1,3,2
538,20170201170059,2,-1,-1,-1
539,20170201170069,-1,-1,-1,-1
540,20170201170088,-1,-1,-1,-1
541,20170201170100,-1,-1,-1,-1
542,20170201170106,-1,-1,-1,-1
543,20170201170119,1,1,6,1
544,20170201170131,-1,-1,-1,-1
545,20170201170134,-1,-1,-1,-1
546,20170201170135,-1,-1,-1,-1
547,20170201170148,1,1,3,1
548,20170201170510,-1,-1,-1,-1
549,20170201170515,-1,-1,-1,-1
550,20170201170517,-1,-1,-1,-1
551,20170201170524,1,1,3,2
552,20170201170527,-1,-1,-1,-1
553,20170201170534,-1,-1,-1,-1
554,20170201170549,-1,-1,-1,-1
555,20170201170586,1,2,5,1
556,20170201170599,-1,-1,-1,-1
557,20170201170607,1,1,2,1
558,20170201170613,-1,-1,-1,-1
559,20170201170620,-1,-1,-1,-1
560,20170201170629,1,3,3,2
561,20170201170647,-1,-1,-1,-1
562,20170201170654,-1,-1,-1,-1
563,20170201170665,-1,-1,-1,-1
564,20170201170673,-1,-1,-1,-1
565,20170201170675,-1,-1,-1,-1
566,20170201170684,1,1,5,1
567,20170201170686,1,1,4,1
568,20170201170698,1,1,3,1
569,20170201170716,1,2,3,2
570,20170201170725,1,1,5,1
571,20170201170740,2,-1,-1,-1
572,20170201170742,1,1,1,2
573,20170201170748,-1,-1,-1,-1
574,20170201170769,-1,-1,-1,-1
575,20170201170773,1,3,7,2
576,20170201170777,-1,-1,-1,-1
577,20170201170778,-1,-1,-1,-1
578,20170201170779,-1,-1,-1,-1
579,20170201170783,-1,-1,-1,-1
580,20170201170788,1,2,1,1
581,20170201170792,-1,-1,-1,-1
582,20170201170809,1,1,3,2
583,20170201170810,-1,-1,-1,-1
584,20170201170811,-1,-1,-1,-1
585,20170201170823,-1,-1,-1,-1
586,20170201170837,-1,-1,-1,-1
587,20170201170846,1,1,2,1
588,20170201170851,-1,-1,-1,-1
589,20170201170852,-1,-1,-1,-1
590,20170201170861,1,1,3,2
591,20170201170872,-1,-1,-1,-1
592,20170201170891,1,2,1,2
593,20170201170903,-1,-1,-1,-1
594,20170201170907,-1,-1,-1,-1
595,20170201170926,-1,-1,-1,-1
596,20170201170929,-1,-1,-1,-1
597,20170201170939,-1,-1,-1,-1
598,20170201170942,-1,-1,-1,-1
599,20170201170943,-1,-1,-1,-1
600,20170201170946,-1,-1,-1,-1
601,20170201170950,-1,-1,-1,-1
602,20170201170953,2,-1,-1,-1
603,20170201170986,-1,-1,-1,-1
604,20170201170993,1,2,1,1
605,20170201171005,1,3,5,1
606,20170201171008,1,3,2,2
607,20170201171017,1,1,2,1
608,20170201171035,-1,-1,-1,-1
609,20170201171036,1,1,3,1
610,20170201171045,1,2,1,2
611,20170201171048,-1,-1,-1,-1
612,20170201171061,-1,-1,-1,-1
613,20170201171062,-1,-1,-1,-1
614,20170201171064,-1,-1,-1,-1
615,20170201171066,-1,-1,-1,-1
616,20170201171072,-1,-1,-1,-1
617,20170201171083,-1,-1,-1,-1
618,20170201171115,-1,-1,-1,-1
619,20170201171129,-1,-1,-1,-1
620,20170201171139,-1,-1,-1,-1
621,20170201171140,1,3,3,2
622,20170201171154,-1,-1,-1,-1
623,20170201171157,-1,-1,-1,-1
624,20170201171177,-1,-1,-1,-1
625,20170201171188,1,1,4,1
626,20170201171202,-1,-1,-1,-1
627,20170201171205,-1,-1,-1,-1
628,20170201171206,1,1,1,1
629,20170201171217,1,2,1,2
630,20170201171230,-1,-1,-1,-1
631,20170201171231,1,1,3,1
632,20170201171237,-1,-1,-1,-1
633,20170201171240,1,1,7,1
634,20170201171244,-1,-1,-1,-1
635,20170201171258,-1,-1,-1,-1
636,20170201171264,1,1,6,2
637,20170201171267,-1,-1,-1,-1
638,20170201171278,1,3,4,1
639,20170201171281,-1,-1,-1,-1
640,20170201171284,-1,-1,-1,-1
641,20170201171287,-1,-1,-1,-1
642,20170201171302,-1,-1,-1,-1
643,20170201171303,1,2,1,2
644,20170201171311,-1,-1,-1,-1
645,20170201171330,-1,-1,-1,-1
646,20170201171337,1,2,1,1
647,20170201171342,-1,-1,-1,-1
648,20170201171346,-1,-1,-1,-1
649,20170201171348,-1,-1,-1,-1
650,20170201171350,-1,-1,-1,-1
651,20170201171352,-1,-1,-1,-1
652,20170201171356,1,2,1,1
653,20170201171361,1,1,3,1
654,20170201171367,1,2,3,2
655,20170201171397,-1,-1,-1,-1
656,20170201171402,-1,-1,-1,-1
657,20170201171404,-1,-1,-1,-1
658,20170201171409,-1,-1,-1,-1
659,20170201171416,1,2,1,2
660,20170201171422,-1,-1,-1,-1
661,20170201171425,-1,-1,-1,-1
662,20170201171436,-1,-1,-1,-1
663,20170201171441,-1,-1,-1,-1
664,20170201171442,-1,-1,-1,-1
665,20170201171445,1,1,3,2
666,20170201171446,-1,-1,-1,-1
667,20170201171450,1,1,5,1
668,20170201171463,1,3,1,2
669,20170201171465,-1,-1,-1,-1
670,20170201171466,1,3,1,1
671,20170201171474,-1,-1,-1,-1
672,20170201171478,2,-1,-1,-1
673,20170201171482,-1,-1,-1,-1
674,20170201171486,-1,-1,-1,-1
675,20170201171487,1,2,2,1
676,20170201171493,-1,-1,-1,-1
677,20170201171497,2,-1,-1,-1
678,20170201171519,-1,-1,-1,-1
679,20170201171520,-1,-1,-1,-1
680,20170201171525,-1,-1,-1,-1
681,20170201171541,-1,-1,-1,-1
682,20170201171552,-1,-1,-1,-1
683,20170201171553,-1,-1,-1,-1
684,20170201171555,-1,-1,-1,-1
685,20170201171556,1,1,5,2
686,20170201171560,-1,-1,-1,-1
687,20170201171561,-1,-1,-1,-1
688,20170201171569,-1,-1,-1,-1
689,20170201171570,1,2,1,2
690,20170201171577,-1,-1,-1,-1
691,20170201171591,1,2,1,1
