,personid,year_week,expgroup,perform1,Selected,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ
132,26906,201114.0,0.0,-1.1899904,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
133,26906,201115.0,0.0,-0.9236338,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
134,26906,201116.0,0.0,-1.0468735,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
135,26906,201117.0,0.0,-0.93953574,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
136,26906,201118.0,0.0,-1.7505314,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
137,26906,201119.0,0.0,-1.424543,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
138,26906,201120.0,0.0,-1.0587999,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
139,26906,201121.0,0.0,-1.4006902,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
140,26906,201122.0,0.0,-1.3927393,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
141,26906,201123.0,0.0,-1.2933526,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
142,26906,201124.0,0.0,-0.74473774,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
143,26906,201125.0,0.0,-0.33526435,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
144,26906,201126.0,0.0,-0.967364,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
145,26906,201127.0,0.0,-1.8419673,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
146,26906,201128.0,0.0,0.046380747,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
147,26906,201129.0,0.0,-1.3052789,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
148,26906,201130.0,0.0,-1.7664334,1,24.0,30.0,3.2975867,no,yes,40.0,0.0,0.0,1.0,0.0
149,31888,201001.0,0.0,-2.2488537,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
150,31888,201002.0,0.0,1.1899066,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
151,31888,201003.0,0.0,1.410411,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
152,31888,201004.0,0.0,1.2411216,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
153,31888,201005.0,0.0,0.8475665,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
154,31888,201006.0,0.0,0.6802677,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
155,31888,201007.0,0.0,0.082796834,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
156,31888,201008.0,0.0,1.53289,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
157,31888,201009.0,0.0,0.8083359,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
158,31888,201010.0,0.0,0.9873179,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
159,31888,201011.0,0.0,1.3302401,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
160,31888,201012.0,0.0,0.4832684,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
161,31888,201013.0,0.0,0.19622631,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
162,31888,201014.0,0.0,1.5643575,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
163,31888,201015.0,0.0,1.3661327,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
164,31888,201016.0,0.0,1.8262053,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
165,31888,201017.0,0.0,2.0105157,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
166,31888,201018.0,0.0,1.9919162,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
